"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2025-07-01 02:37:00","6.775","-73.12","148.05","2.8","MLr_3","51","1.2","66","2.620","3.389","4.65","Los Santos - Santander, Colombia","","","","manual"
"2025-07-02 06:13:43","6.772","-73.147","143.01","2.5","MLr_3","42","1.2","65","3.019","3.648","4.92","Los Santos - Santander, Colombia","","","","manual"
"2025-07-02 07:33:41","6.782","-73.164","144.18","2.5","MLr_3","42","1.1","63","3.282","3.996","4.94","Los Santos - Santander, Colombia","","","","manual"
"2025-07-02 13:22:15","6.778","-73.13","144.18","2.6","MLr_3","37","1.0","67","3.067","3.629","5.20","Los Santos - Santander, Colombia","","","","manual"
"2025-07-02 18:29:15","7.431","-73.223","138.14","2.5","MLr_vmm","60","0.4","41","0.919","0.919","1.30","Rionegro - Santander, Colombia","","","","manual"
"2025-07-02 23:53:03","6.784","-73.136","145.12","2.7","MLr_3","40","1.1","67","2.601","3.672","5.10","Los Santos - Santander, Colombia","","","","manual"
"2025-07-03 04:33:43","6.774","-73.121","144.41","2.6","MLr_3","42","1.0","66","2.522","3.429","4.90","Los Santos - Santander, Colombia","","","","manual"
"2025-07-03 22:13:46","6.797","-73.136","144.88","2.5","MLr_3","27","1.0","154","3.571","5.829","5.94","Los Santos - Santander, Colombia","","","","manual"
"2025-07-04 00:36:27","6.767","-73.149","145.35","2.6","MLr_3","39","1.2","114","2.547","4.373","5.12","Los Santos - Santander, Colombia","","","","manual"
"2025-07-04 02:37:38","6.808","-73.168","150.98","3.4","MLr_3","68","1.3","110","2.131","3.431","4.39","Los Santos - Santander, Colombia","","","","manual"
"2025-07-04 12:04:37","6.816","-73.22","143.71","2.8","MLr_3","39","1.2","138","3.014","4.045","5.44","Zapatoca - Santander, Colombia","","","","manual"
"2025-07-04 13:14:59","6.803","-73.194","145.35","2.9","MLr_3","44","1.1","141","2.499","3.986","4.83","Zapatoca - Santander, Colombia","","","","manual"
"2025-07-04 23:58:14","6.799","-73.121","146.05","2.5","MLr_3","41","1.0","142","2.738","4.361","5.22","Los Santos - Santander, Colombia","","","","manual"
"2025-07-05 06:50:08","6.78","-73.172","144.18","2.6","MLr_3","47","1.4","131","3.102","4.227","5.27","Los Santos - Santander, Colombia","","","","manual"
